ID,Title,Description,Y_Economy,Y_Environment,Y_Appeal,Y_EcoDiversity,Depiction
1,student1,student project 1,0,0,0,0,N/A
2,student2,student project 1,0,0,0,0,N/A
3,student3,student project 1,0,0,0,0,N/A
4,student4,student project 1,0,0,0,0,N/A
5,student5,student project 1,0,0,0,0,N/A
6,student6,student project 1,0,0,0,0,N/A
7,student7,student project 1,0,0,0,0,N/A
8,student8,student project 1,0,0,0,0,N/A
9,student9,student project 1,0,0,0,0,N/A
10,student10,student project 1,0,0,0,0,N/A
11,student11,student project 1,0,0,0,0,N/A
12,student12,student project 1,0,0,0,0,N/A
13,student13,student project 1,0,0,0,0,N/A
14,student14,student project 1,0,0,0,0,N/A
15,student15,student project 1,0,0,0,0,N/A
16,student16,student project 1,0,0,0,0,N/A
17,student17,student project 1,0,0,0,0,N/A
18,student18,student project 1,0,0,0,0,N/A
19,student19,student project 1,0,0,0,0,N/A
20,student20,student project 1,0,0,0,0,N/A
21,student21,student project 1,0,0,0,0,N/A
22,student22,student project 1,0,0,0,0,N/A
23,student23,student project 1,0,0,0,0,N/A
24,student24,student project 1,0,0,0,0,N/A
