ID,Title,Description,Y_Stat1,Y_Stat2,Y_Stat3,Y_Stat4,Y_Stat5,N_Stat1,N_Stat2,N_Stat3,N_Stat4,N_Stat5
1,Temp 1,yes s1 10,10,0,0,0,0,0,0,0,0,0
2,Temp 2,yes s2 10,0,10,0,0,0,0,0,0,0,0
3,Temp 3,yes s3 10,0,0,10,0,0,0,0,0,0,0
4,Temp 4,yes s4 10,0,0,0,10,0,0,0,0,0,0
5,Temp 5,yes s5 10,0,0,0,0,10,0,0,0,0,0
6,Temp 6,no s1 10,0,0,0,0,0,10,0,0,0,0
7,Temp 7,no s2 10,0,0,0,0,0,0,10,0,0,0
8,Temp 8,no s3 10,0,0,0,0,0,0,0,10,0,0
9,Temp 9,no s4 10,0,0,0,0,0,0,0,0,10,0
10,Temp 10,no s5 10,0,0,0,0,0,0,0,0,0,10
11,Temp 11,yes -10,-10,-10,-10,-10,-10,0,0,0,0,0
12,Temp 12,no - 10,0,0,0,0,0,-10,-10,-10,-10,-10
13,Temp 13,all -10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
14,Temp 14,yes 10,10,10,10,10,10,0,0,0,0,0
15,Temp 15,no 10,0,0,0,0,0,10,10,10,10,10
16,Temp 16,all 10,10,10,10,10,10,10,10,10,10,10
17,Temp 17,no effect,0,0,0,0,0,0,0,0,0,0
18,Temp 18,no effect,0,0,0,0,0,0,0,0,0,0
19,Temp 19,no effect,0,0,0,0,0,0,0,0,0,0
20,Temp 20,no effect,0,0,0,0,0,0,0,0,0,0
21,Temp 21,no effect,0,0,0,0,0,0,0,0,0,0
22,Temp 22,no effect,0,0,0,0,0,0,0,0,0,0
23,Temp 23,no effect,0,0,0,0,0,0,0,0,0,0
24,Temp 24,no effect,0,0,0,0,0,0,0,0,0,0
25,Temp 25,no effect,0,0,0,0,0,0,0,0,0,0
26,Temp 26,no effect,0,0,0,0,0,0,0,0,0,0
27,Temp 27,no effect,0,0,0,0,0,0,0,0,0,0
28,Temp 28,no effect,0,0,0,0,0,0,0,0,0,0
29,Temp 29,no effect,0,0,0,0,0,0,0,0,0,0
30,Temp 30,no effect,0,0,0,0,0,0,0,0,0,0
31,Temp 31,no effect,0,0,0,0,0,0,0,0,0,0
32,Temp 32,no effect,0,0,0,0,0,0,0,0,0,0
33,Temp 33,no effect,0,0,0,0,0,0,0,0,0,0
34,Temp 34,no effect,0,0,0,0,0,0,0,0,0,0
35,Temp 35,no effect,0,0,0,0,0,0,0,0,0,0
36,Temp 36,no effect,0,0,0,0,0,0,0,0,0,0
